# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
522,-32202.00232,20.56046929,0,0.001,0.022,3.580926064e-06,0.007934128899
524,-32202.00242,20.56056607,0,0.001,0.022,3.577849272e-06,0.008048922355
523,-32202.00242,20.56056607,0,0.001,0.022,3.577849272e-06,0.008048922355
525,-32202.03522,20.59337135,0,0.001,0.022,3.433414236e-06,0.008493314673
499,-32202.05939,20.61753865,0,0,0.025,2.220014681e-06,0.001597791748
398,-32202.07783,20.6359806,0,0,0.009,6.599343879e-07,0.1577703958
399,-32202.07783,20.63598148,0,0,0.009,6.545648114e-07,0.1463489168
400,-32202.08497,20.64312086,0,0,0.009,6.500003593e-07,0.1681018629
411,-32202.08516,20.64330582,0,0,0.009,6.49892066e-07,0.168112491
75,-32202.10629,20.66444032,0,0,0.007,4.321650532e-07,0.01459775976
196,-32202.10697,20.66512206,0,0,0.007,4.321437765e-07,0.01440426141
788,-32202.27106,20.82921055,0,0,0.011,7.765696417e-07,9.571430068e-55
797,-32202.27115,20.82929442,0,0,0.011,7.831938859e-07,2.182271893e-66
390,-32202.31686,20.87501068,0,0,0.007,2.557986077e-07,5.687154662e-86
377,-32202.31697,20.8751157,0,0,0.007,2.570094266e-07,7.017723693e-43
297,-32202.33529,20.8934369,0,0,0.005,2.646966414e-07,0.00126598223
296,-32202.34782,20.90596695,0,0,0.005,2.440016188e-07,0.001365880579
334,-32202.34799,20.90613986,0,0,0.005,2.450943668e-07,0.001284309551
154,-32202.41773,20.97588093,0,0,0.009,1.155770776e-06,7.360723765e-63
150,-32202.41832,20.97646586,0,0,0.009,1.115535181e-06,2.891751437e-15
488,-32202.42943,20.98758226,0,0,0.018,2.064257386e-06,0.001213622254
365,-32202.43286,20.99100261,0,0,0.005,1.910434814e-07,0.08013845167
366,-32202.48234,21.04048391,0,0,0.006,1.983332854e-07,0.05087570535
375,-32202.48246,21.0406038,0,0,0.006,1.981587121e-07,0.05102996669
631,-32202.52567,21.08381317,0,0,0.007,4.036750605e-06,0.0009553223548
798,-32202.5389,21.0970429,0,0,0.009,6.763940906e-07,3.085833421e-44
815,-32202.53901,21.09715718,0,0,0.009,6.773047465e-07,1.678527627e-52
412,-32202.62863,21.18678094,0,0,0.007,4.454276265e-07,1.589687676e-64
413,-32202.62864,21.1867917,0,0,0.007,4.453836799e-07,3.660844155e-113
200,-32202.63963,21.19777656,0,0,0.01,1.459933315e-06,2.321741705e-34
273,-32202.64023,21.19837282,0,0,0.01,1.459428666e-06,2.913786974e-43
492,-32202.66031,21.21845325,0,0,0.021,2.009474318e-06,0.001184049338
489,-32202.66033,21.21847728,0,0,0.021,2.009326413e-06,0.001183536518
81,-32202.6977,21.2558501,0,0,0.007,5.335958702e-07,0.1250478097
80,-32202.69773,21.25588201,0,0,0.007,5.325621964e-07,0.134049149
201,-32202.71472,21.27286846,0,0,0.01,1.576112026e-06,5.003280836e-57
272,-32202.71627,21.27441829,0,0,0.01,1.619646667e-06,2.482575913e-64
76,-32202.89083,21.44897494,0,0,0.008,4.373989614e-07,0.03664524301
155,-32202.89127,21.44941418,0,0,0.008,4.368479651e-07,0.02275940505
